target_word,context_sentence,target_level,block_id,sys_id,diversity_human,rank_human,sentence,level_human,sense_human,reject,ann_id
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,3,High,2nd,相手の心情を察しつつ、適切なアドバイスを提供することが大切です。,N3,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,3,High,2nd,ディベートでは相手の弱点を見つけ、巧妙に攻撃することが求められます。,N3,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,3,High,2nd,相手の意図を読み取りながら、戦術的な効果的な問いかけをする必要があります。,N3,Similar,FALSE,human_native_1
相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N1,1,3,High,2nd,相手の動きを見極めて、適切なタイミングで反応することが勝利の鍵です。,N3,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,1,Medium,3rd,彼とは趣味も性格も合わないので、友達になることはできなかった。,N3,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,1,Medium,3rd,心と体が合わず、疲れもたまってきた。,N3,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,1,Medium,3rd,彼の提案は私の意見と合わないので、反対しました。,N3,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,1,Medium,3rd,彼女の考え方は私たちの価値観と合わないので、理解するのが難しいです。,N3,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,1,Medium,3rd,このデザインはイメージと合わず、改めて考え直す必要がある。,N3,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,2,Medium,2nd,私たちはもっとよく合う必要がある。,rejected,rejected,TRUE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,2,Medium,2nd,あの料理は私の口に合わなかったから、もう二度と食べたくない。,N4,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,2,Medium,2nd,彼女は趣味が合う。,N5,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,2,Medium,2nd,その料理は僕たちに合う。,N5,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,2,Medium,2nd,あの仕事はあなたに合う。,N5,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,3,Medium,1st,またマクロレンズと違い無限遠にピントが合わなくなる等、ピントあわせに制約がある。,N1,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,3,Medium,1st,そのような状態は実現できないのであるが、実用上は仮想的な点光源からの光が結像面上でもっとも強く収束するような条件をもって、ピントが合っていると考える。,N1,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,3,Medium,1st,ただし、自キャラとマンホールの間に地形がある場合、座標が合っていても障害物ごしに開閉は出来ない。,N1,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,3,Medium,1st,しかしながら、東急では2020年までに各駅へ可動式ホーム柵を設置することとなり、扉の位置が合わない田園都市線の6扉車は廃止を余儀なくされた。,N1,Similar,FALSE,human_native_1
合う,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,N1,2,3,Medium,1st,と怒るのだが、毎回カメラのスイッチングのタイミングが合わず、タイミングが合ったら合ったでピンボケを起こしている。,rejected,rejected,TRUE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,1,Low,3rd,．彼女との時間はいつも癒しのひとときだ。,N3,Not similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,1,Low,3rd,．発表までの時間が迫っているので、準備に集中しなければ。,N3,Not similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,1,Low,3rd,．彼の熱心な練習のおかげで、プレーの時間が格段に向上した。,rejected,rejected,TRUE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,1,Low,3rd,．会議の時間を変更したいのですが、可能でしょうか。,N3,Not similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,1,Low,3rd,．彼女の歌声に聞き惚れて、時間を忘れてしまった。,N3,Not similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,2,Medium,1st,そして６時間の待ち時間を経て、いざドイツへ。,N3,Similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,2,Medium,1st,シリーズ終了後の時にはメンバー全員と1時間ずつ面接を行い「チェキッ娘の名を語ってヌードにはなるな」と言っていたという。,N4,Similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,2,Medium,1st,竹宮は一夜にして物語のプロットを頭に描き、翌日増山に8時間かけてストーリーを話した。,N4,Similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,2,Medium,1st,原稿用紙１枚にも満たないメールに２時間かけるなんていうのは褒められたことではない。,N4,Similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,2,Medium,1st,後日対面を許され、萩本邸に招待されたが、そこで突然の無茶振りに始まり3時間にわたる指導を受け、以降はテレビ番組での共演も果たしている。,N5,Similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,3,High,2nd,なぜなら、彼女は約束の時間に遅れることなく来たのに、上司には別の予定が入ってしまったからだ。,N3,Not similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,3,High,2nd,僕はここで二時間ほど調べられた。,N3,Similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,3,High,2nd,この仕事には多くの時間とエネルギーが必要だ。,N3,Similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,3,High,2nd,彼はこのことについてとても長い時間考えていた。,N3,Similar,FALSE,human_native_1
時間,俺はそこで二時間ほど調べられた。,N1,3,3,High,2nd,僕たちが会った時、すでに三時間以上経っていた。,N3,Similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,1,Medium,2nd,出かける前に、チケットを出しておかなければならない。,N3,Not similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,1,Medium,2nd,彼の提案に賛成して、手を挙げて意見を出した。,N3,Similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,1,Medium,2nd,レストランで新しいメニューが出されたので、早速試してみた。,N3,Not similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,1,Medium,2nd,学校のプレゼンテーションで、彼は素晴らしいスピーチを出した。,rejected,rejected,TRUE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,1,Medium,2nd,彼は毎朝ランニングして汗をたくさん出す。,N3,Not similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,2,High,1st,声を出す練習でもありますが、ただ見て流すよりは理解力が増しました。,N1,Similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,2,High,1st,喉頭の位置に基づいて、ネアンデルタール人ですら現生人類が作り出す全ての音を完全に出すのに必要な解剖学的構造を具えていないと信じている学者もいる。,N1,Similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,2,High,1st,得られる音高はその知覚のためには上音に依存するところが大きいが、熟練した奏者の手にかかれば、ペダルトーンは制御することができ、楽器に特徴的な音を出すことができる。,N1,Similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,2,High,1st,ダンスには作者不明の古い特徴的な曲調の音楽をという太鼓とというとても大きな音を出すオーボエの一種で伴奏する。,N1,Similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,2,High,1st,グランドピアノにあっては弦を打つ位置をずらすことにより、アップライトピアノにあっては弦を叩く距離を短くすることによって、弱い音を出す。,N1,Similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,3,Medium,3rd,音楽に使うものであれば、楽器以外でも音を出す道具はすべて音具という。,N3,Similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,3,Medium,3rd,彼は手紙を出す前に郵便局で切手を買った。,N3,Not similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,3,Medium,3rd,彼女はその紙切れを封筒に入れて出した。,N3,Not similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,3,Medium,3rd,あなたはその本を出してください。,N5,Not similar,FALSE,human_native_1
出す,音具とは音を出す道具のうち、音が出るが楽器とは言いにくい物のこと。,N1,4,3,Medium,3rd,私は彼女に電話を出してほしい。,rejected,rejected,TRUE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,1,Low,2nd,私が日本に留学した場合、日本語を学ぶのに苦労すると思います。,N3,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,1,Low,2nd,何か問題が起きた場合には、冷静に対処することが大切です。,N3,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,1,Low,2nd,私が何かを壊した場合、それは弁償する必要がある。,rejected,rejected,TRUE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,1,Low,2nd,彼に電話をかけた場合、すぐに返事が来るとは限らない。,N3,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,1,Low,2nd,実際に起こる可能性は低いですが、万一起こった場合は速やかに対応してください。,N3,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,2,High,1st,かくのごとき困難は天然現象の場合に最も著しかるべし。,N1,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,2,High,1st,それ故に彼の場合は、敵も味方も悲劇であり、戰爭そのものが痛ましい宿命だつた。,N1,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,2,High,1st,彼は『政略論』において「戦いに訴えねばならない場合に、自国民からなる軍隊をもっていない指導者は国家は恥じてしかるべきだと思う」と論じている。,N1,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,2,High,1st,日本の場合は、艦長ですら自分の下着は自分で洗濯せねばならないほどであった。,N1,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,2,High,1st,救助活動による二次遭難の危険が高い場合は、生存者の生命を危険にさらすべきではないが、心情的に割り切れるかどうかは難しいところであろう。,N1,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,3,Low,3rd,私たちが成功するかどうかは、チームの連携力による場合が非常に大きい。,N3,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,3,Low,3rd,その商品を売るかどうかは、消費者の需要による場合が決め手となる。,N3,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,3,Low,3rd,受験に合格するかどうかは、過去の試験の結果による場合が多い。,N3,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,3,Low,3rd,家族の安全を守るためには、地域の治安状況による場合が深く関わる。,N3,Similar,FALSE,human_native_1
場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,5,3,Low,3rd,旅行の楽しみ方は、目的地の天候による場合がどうしても影響される。,N3,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,1,Low,1st,後年1950年代までオート三輪やオートバイの零細メーカーが群生した名古屋でも早い時期のオート三輪メーカー設立であった。,N1,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,1,Low,1st,その成立は1929年に遡り、安徽大学の最も早く成立した学部の一つである。,N1,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,1,Low,1st,北極海がコラ半島北部周辺までは通年航行可能で、それ以東も海氷の発達が比較的弱く、北東航路が北西航路よりも早く開通・一部実用化されたのも、この暖流によるところが大きい。,N1,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,1,Low,1st,18世紀後半、世界で最も早く工場制機械工業を導入したイギリスでは、その後「世界の工場」と称されるまでに至った。,N1,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,1,Low,1st,小惑星番号187531を付されたこの天体は、5つのうちもっとも早く小惑星番号付与に至ったものである。,N1,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,2,High,2nd,"一日も早く復興できるよう、私たちは力を合わせていきたい。""",N3,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,2,High,2nd,時間が経つのは本当に早いものだ。,N3,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,2,High,2nd,彼はいつも仕事が早く終わるので、助かる。,N3,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,2,High,2nd,最も早く人口が20万人に到達した都市であったと思われる。,N3,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,2,High,2nd,彼女はいつも私よりも何倍も早く起きていた。,N3,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,3,High,3rd,彼はいつも仕事が早い。,N5,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,3,High,3rd,私の家族は朝早く起きる習慣がある。,N3,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,3,High,3rd,彼女の反応はいつも早い。,N5,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,3,High,3rd,そのチームは攻撃が早い。,N5,Similar,FALSE,human_native_1
早い,一番早く人口が20万人に到達した都市であったと思われる。,N1,6,3,High,3rd,早い段階で正しい判断を下すことが重要です。,N3,Similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,1,Medium,2nd,会議は明日の午後3時に開く予定です。,rejected,rejected,TRUE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,1,Medium,2nd,彼女は笑顔でドアを開くと、驚きの表情を見せた。,N3,Similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,1,Medium,2nd,パーティーの準備が整い、ドアが開くのを待っている。,N3,Similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,1,Medium,2nd,新しい店が駅前に開くことが決まった。,N3,Not similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,1,Medium,2nd,春の訪れと共に、桜の花が開く様子を楽しみにしています。,N3,Not similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,2,Medium,1st,そのさよなら運転の終盤に100はドアが開かなくなる故障を起こし、まさに「力尽きる」形で仏生山工場へと回送された。,N1,Similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,2,Medium,1st,ホームが曲線上に位置する関係で、3番線の場合、自社通勤型車両では各車両中程の2ヶ所のみドアが開く。,N1,Similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,2,Medium,1st,この踏切は駅に近いこともあって踏切遮断時間が長い開かずの踏切となっていて、踏切道改良促進法に基づき国土交通省が「改良すべき踏切道」に指定している。,rejected,rejected,TRUE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,2,Medium,1st,ワンマン電車は、一部の電車を除いては前の扉しか開かない。,N1,Similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,2,Medium,1st,の掛け声でデジクォーツへのゲートが開く、デジクロスは一台では2体までの制限が付くなどデジモンハント用に置き換わっている。,rejected,rejected,TRUE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,3,Medium,3rd,彼は本を開けばいいのに。,N4,Similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,3,Medium,3rd,窓を開ける1.この本は、日本について学ぶために開かれた。,rejected,rejected,TRUE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,3,Medium,3rd,開いている店はたくさんある。,N4,Not similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,3,Medium,3rd,私たちはいつも何かを開こうとしている。,N3,Similar,FALSE,human_native_1
開く,当駅ではすべてのドアが開く。,N1,7,3,Medium,3rd,「このお店、朝7時から開いているんだって」,N4,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,1,High,3rd,彼は常に自信を持って行動する。,N3,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,1,High,3rd,学生たちはプレッシャーにも負けずに希望を持って試験に臨んだ。,N3,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,1,High,3rd,彼女は大きな夢を持ち続けている。,N3,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,1,High,3rd,責任感を持って取り組むことが大切です。,N3,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,1,High,3rd,彼は人々に関心を持って話を聞き、理解しようとする。,N4,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,2,High,1st,必ずしも机上に固定しておく必要がない特長を生かして、空中で手に持った状態で使用できる製品が制作可能なのもトラックボールならではである。,N1,Similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,2,High,1st,二つ三つ持つて参れ。,N3,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,2,High,1st,ゲイ・ボルグは怪力無双のクー・フーリンにしか扱えないほど重いとされる話もあるが、他の人物が手に持つことがあり、重量に関する逸話は後世の彩飾の可能性が高い。,N1,Similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,2,High,1st,持ちつ持たれつね。,N3,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,2,High,1st,また、クローバー製玩具は、設定に倣った武器も一応は同梱されたものの、それを手に持たせられないアンバランスさも目立つ。,N1,Similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,3,High,2nd,彼は何かを持っているようだ。,N4,Similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,3,High,2nd,彼女は私よりたくさんのものを持っている。,N3,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,3,High,2nd,favorite dish is sushi.1.右手で持っていたスプーンを左手でも持てるようになったんだ。,rejected,rejected,TRUE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,3,High,2nd,何も持たずに生きるなんて考えられない！,N3,Not similar,FALSE,human_native_1
持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,8,3,High,2nd,この本を持って帰りたいんだけど？,N3,Not similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,1,Medium,2nd,汚い衣類が山積みになっている部屋で、彼は探し物をしていた。,N3,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,1,Medium,2nd,駅の周りは、たばこの吸い殻やごみで汚い状態だった。,N3,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,1,Medium,2nd,レストランのトイレは、臭いがきつくて汚い印象を与えた。,N3,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,1,Medium,2nd,彼女は手で泥を掴んで、顔に汚い模様を描いた。,N3,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,1,Medium,2nd,町の川は、工場からの排水で汚いままだった。,N3,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,2,Medium,1st,そこは社長の住まいとは思えぬ汚い安マンションの一室だった。,N3,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,2,Medium,1st,一方トムは、飲んだくれで乱暴者の父親を持ち、汚いあばら家に住み、金も無い為にパン一つ買う事すら出来ず、常に寒さに震え、飢えと乾きに苛まれていた。,N1,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,2,Medium,1st,1855年1月26日、ヴィエイユ＝ランテルヌ（古いランタン）通り――ボードレールに言わせると見出し得る最も汚い一角――の下水道の鉄格子で首を吊っているネルヴァルが発見された。,N1,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,2,Medium,1st,東京オリンピックに合わせ、暗くて汚いイメージが強い公共トイレのイメージを刷新すべく、日本財団が著名な建築家やデザイナーを起用して新設するプロジェクトが進行中である。,N1,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,2,Medium,1st,対照的に南部の者達は自由労働者のことを「グリースにまみれた機械工、汚い運転者、拳の小さい（けちな）農夫、および気の触れた理論家達」と呼んでいた。,N1,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,3,Medium,3rd,この場所はとても汚かった。,N5,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,3,Medium,3rd,ここは本当に汚いところだ。,N5,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,3,Medium,3rd,この店はとても汚くて、食べ物も不味かった。,N3,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,3,Medium,3rd,彼の部屋はとても臭いし、掃除してもすぐに汚くなる。,N3,Similar,FALSE,human_native_1
汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,9,3,Medium,3rd,彼女のアパートはとても汚くて、まるでゴミ捨て場のようだ。,N3,Similar,FALSE,human_native_1
全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,10,1,High,2nd,小説家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,rejected,rejected,TRUE,human_native_1
全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,10,1,High,2nd,彼は私にとても親切だったけど、まだ全然好きになれないわ。,N3,Similar,FALSE,human_native_1
全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,10,1,High,2nd,彼女はいつも何でもできるような気がしているみたいだけど、実際には全然できないんだ。,N3,Similar,FALSE,human_native_1
全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,10,1,High,2nd,この仕事はとても大変で、毎日残業しても全然終わらない。,N3,Similar,FALSE,human_native_1
全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,10,1,High,2nd,今日は全然仕事に身が入らなかった。,N4,Similar,FALSE,human_native_1
